Field;Theme;Date;City;Points;Question;Answer
Cadre Réglementaire;FFESSM;sept 2021;Niolon;1 points;"Qui vote pour élire les présidents des organes de la FFESSM suivants ?
- Le comité directeur régional ?
- Le comité directeur national ?
- Le président de la commission technique national ?
- Le président de la commission technique régional ?";"Le comité directeur régional est élu par Les présidents des clubs.
Le comité directeur national est élu par les présidents des clubs.
Le président de la commission technique national est élu par les présidents de CTR.
Le président de la commission technique régional est élu par les présidents des club."
Cadre Réglementaire;FFESSM;sept 2021;Niolon;1 points;Listez la liste des commissions nationales de la FFESSM;"- Technique
- Sportive : Apnée, Hockey subaquatique, Nage avec palme, Nage en eau vive, Orientation subaquatique, Pêche sous-marine, Tir sur cible subaquatique, Plongée sportive en piscine,
- Culture : Archéologie subaquatique, Environnement et bio subaquatique, Photo vidéo, Plongée Souterraine
- Service : Médicale et de prévention, Juridique"
Cadre Réglementaire;FFESSM;sept 2021;Niolon;2 points;Quel est le rôle de la commission technique nationale ?;"La Commission Technique Nationale intervient dans l'analyse et l'évolution de l'aspect technique de tout texte réglementaire relatif à son objet, au regard du développement de la pratique.
Elle vérifie la cohérence des systèmes internationaux par rapport aux brevets ou qualifications délivrés par la FFESSM, notamment en matière d'équivalence de prérogatives, ou en matière de passerelles.
Elle suit l'évolution des techniques et des nouveaux équipements.
Elle organise la formation, l'évaluation et la certification des plus hauts niveaux de cadres de plongée subaquatique"
Cadre Réglementaire;FFESSM;juil 2021;Trébeurden;7 points;"a) Un jeune niveau 1 souhaite suivre la qualification nitrox. A quelles conditions cela vous semble-t-il possible ? (1 point)

b) Quelle est la différence entre un moniteur conventionné et associé ? (2 points)

c) Quelles sont les prérogatives du MF2 (1 point)

d) En tant que MF2, vous êtes chargé d'organiser un examen initiateur au sein de votre CODEP. Quelle(s) formalité(s) devez-vous effectuer préalablement et dans quels délais ? (1 point)

e) Quelle sera la composition « minimale » de votre jury ? (1 point)

f) Vous souhaitez associer des MF1 à votre jury, quelles seront leurs prérogatives ? (1 point)";"a) Être âgé d'au moins 14 ans à la date de délivrance. (0,5 point)
Avoir effectué un minimum de 10 plongées dans la zone des 20 mètres attestées sur le carnet de plongée ou par mention sur le passeport ou par fiche justificative dûment remplie. (0,5 point)

b) Moniteur Conventionné (1 point)
- Ce sont des moniteurs CMAS issus d'une fédération ayant signé des accords de reconnaissance avec la FFESSM.
- Ils sont en règle vis-à-vis la réglementation Française (Code du Sport) mais ils ne peuvent pas passer un brevet de la FFESSM ni rentrer dans la filière professionnelle Française avec cette carte de M.C.
Moniteur associé (1 point)
- Ce sont des moniteurs CMAS ou FSGT justifiant de deux ans de licence.
- Suite à leur intégration, les Moniteurs associés FFESSM ont toutes les toute possibilités de certification au sein de la FFESSM, selon leur niveau.

c) Code du sport : Enseignant de niveau 4 (E4)
Délivrer les qualifications fédérales, participer aux examens de Guide de Palanquée, Initiateur et Moniteur Fédéral 1er degré.
Signer sur le livret pédagogique MF1 les attestations de stages pédagogiques d'encadrement en vue de la préparation au Monitorat Fédéral 1er degré.
Signer sur le livret pédagogique MF2 :
- les attestations de participation aux stages initiaux Initiateur dont ils sont responsables.
- les attestations de séances de pédagogie de 2ème degré lorsque ces dernières sont réalisées :
- En situation de formation réelle sur des stagiaires MF1 eux-mêmes en cours de stage en situation sous leur tutelle propre en tant que MF2.
- Au cours de séances réalisées dans le cadre d'un stage en situation d'Initiateur sous leur tutelle propre en tant que MF2.
Signer les attestations de séances de pédagogie de 1er degré.
Signer les attestations d'aptitudes à présenter pour les candidats au MF2.

d) L'examen est organisé à l'échelon du club ou du département. Le président organisateur doit avertir le président de la CTR (0,5 point) au moins un mois avant la session. (0,5 point)

e) Président : le président du club organisateur ou du Comité Départemental organisateur. Au moins un MF2 de la FFESSM ou BEES2 ou DE-JESP ou DES-JEPS licenciés à la FFESSM.
Un délégué de la CTR (au moins MF2 de la FFESSM ou BEES2 ou DES-JEPS licenciés à la FFESSM). Il est chargé de vérifier les dossiers des candidats et la conformité du déroulement de l'examen ; il peut participer aux épreuves de l'examen et à l'évaluation des candidats.
Nota Le délégué de la CTR peut cumuler les deux fonctions de moniteur (donc jury minimum possible : le président du club ou du Comité Départemental et le délégué de la CTR).

f) Les MF1 peuvent être membres du jury et juger à deux l'épreuve de mannequin, et en double avec le ou les MF2 de la FFESSM ou BEES2 ou DE-JESP ou DES-JEPS licenciés à la FFESSM, les épreuves de pédagogie.
Les MF1 de la FFESSM ou BEES1 licenciés à la FFESSM, titulaires de la qualification « Tuteur de Stage Initiateur » (TSI) peuvent juger à deux l'épreuve de réglementation. (0,25 point)
Organiser la formation, l'évaluation et la certification des plus hauts niveaux de cadres de plongée subaquatique. (0,25 point)
Traiter de tout ce qui relève de la pratique, de l'enseignement, des brevets, des qualifications, de la réglementation et du développement de la plongée scaphandre, ainsi que de l'ensemble du matériel mis en Suvre. (0,25 point)
Être force de proposition auprès du CDN (0,25 point)"
Cadre Réglementaire;FFESSM;juil 2021;Trébeurden;6 points;"a) Quel est le rôle de la Commission Technique Nationale ? (2 points)

b) Qu'est-ce qu'un ATP mis en place au sein de la FFESSM ? (1 point)

c) Citez au moins 3 ATP (1,5 points)

d) Un accident de plongée dans votre club a nécessité l'évacuation d'un plongeur vers un caisson hyperbare.
Votre président vous demande quelles formalités il doit réaliser ?(1,5 points)";"a) Rôle:
Organiser une veille technique et réglementaire (0,25 point)
Organiser la formation, l'évaluation et la certification des plus hauts niveaux de cadres de plongée subaquatique. (0,25 point)
Traiter de tout ce qui relève de la pratique, de l'enseignement, des brevets, des qualifications, de la réglementation et du développement de la plongée scaphandre, ainsi que de l'ensemble du matériel mis en Suvre. (0,25 point)
Être force de proposition auprès du CDN (0,25 point)

b) Autres Titres de Participations que la licence : Ce sont des activités de découverte de courte durée qui peuvent se pratiquer sans licence, ni CACI.

c) 0,5 point / ATP, maxi 3.
pack découverte, Pass'collectif jeunes, Pass Rando, Baptême, Première étoile de mer, PE12, Pass'plongée

d) formalités à réaliser
- Renseigner la fiche de déclaration d'accidents survenant dans les établissements d'APS et la transmettre à la Préfecture. (0,5 points)
- Déclarer l'accident à l'assureur de la FFESSM (cabinet LAFONT). (0,5 point)
- Faire parvenir à l'accidenté le « questionnaire étude accident » de la FFESSM (0,5 point)"
Cadre réglementaire;FFESSM;oct 2020;Hendaye;1 points;Quels sont les intérêts de l'affiliation fédérale pour un club ?;L'affiliation permet au club de bénéficier du cadre général d'organisation mis en place par la fédération, de contracter via la licence une assurance en RC, de délivrer des titres et diplômes dans les conditions définies par la fédération délégataire.
Cadre Réglementaire;FFESSM;sept 2020;Niolon;3 points;Quels sont le rôle et la composition de la CTN ?;"Traiter tout ce qui relève de la pratique, de l'enseignement, des brevets des qualifications, de la règlementation et du développement de la plongée autonome en scaphandre ou par tout autre moyen, ainsi que de l'ensemble du matériel mis en oeuvre,
Intervenir dans l'analyse et l'évolution de l'aspect technique de tout texte réglementaire,
Vérifier la cohérence des textes internationaux (équivalences, passerelles),
Suivre l'évolution des techniques et des équipements,
Organise la formation, l'évaluation et la certification des plus hauts niveaux de cadre de la plongée subaquatique.
Elle est composée :
- Des président(e)s de CTR
- Du président qui est élu par les président(e)s de CTR,
- Éventuellement d'experts et/ou chargés de mission"
Cadre Réglementaire;FFESSM;sept 2020;Niolon;2 points;Que doit contenir le dossier de demande d'affiliation à la FFESSM que doit constituer un club associatif ?;"Engagement à respecter les statuts, les règlements fédéraux et les normes d'encadrement et de pratique.
Règlement des montants de la cotisation annuelle.
Dossier d'affiliation complet."
Cadre Réglementaire;FFESSM;sept 2019;Niolon;2 points;Quel est le rôle de la CTN (Commission Technique Nationale) ?;"Traiter de tout ce qui relève de la pratique, de l'enseignement, des brevets, des qualifications, de la réglementation et du développement de la plongée autonome en scaphandre :
- Elle intervient dans l'analyse et l'évolution de l'aspect technique de tout texte réglementaire relatif à son rôle.
- Elle vérifie la cohérence des systèmes internationaux par rapport aux brevets ou qualifications délivrés par la FFESSM, notamment en matière d'équivalence de prérogatives, ou en matière de passerelles.
- Elle suit l'évolution des techniques et des nouveaux équipements.
- Elle organise la formation, l'évaluation et la certification des niveaux et titre des cadres de plongée subaquatique (Initiateur, GP, MF1, MF2, IR, IN)"
Cadre Réglementaire;FFESSM;sept 2019;Niolon;3 points;La FFESSM est une fédération agréée et délégataire : expliquez ces 2 notions.;"Agrément : (1 pt)
Reconnaissance officielle de la fédération par le ministère de tutelle. Une fédération doit être agréée pour pouvoir recevoir des subventions de la part de l'état.

Délégation : (2 pt)
Transfert de missions de service public de l'état vers une fédération.
Pour notre fédération cela correspond au fait de promouvoir, organiser et développer les activités subaquatiques, d'être chargée de l'organisation des compétitions sportives à l'issue desquelles sont délivrés les titres internationaux, nationaux, régionaux ou départementaux, de procéder aux sélections des compétiteurs et des sportifs de haut niveau."
Cadre Réglementaire;FFESSM;juil 2019;Trébeurden;2 points;Quel est le rôle de la CTN ? Quelle est sa composition et comment ses membres sont-ils désignés ?;"La CTN a pour objet tout ce qui relève de la pratique, de l'enseignement, des brevets, des qualifications, de la réglementation et du développement de la plongée autonome en scaphandre ou par tout autre moyen, ainsi que de l'ensemble du matériel mis en oeuvre. À ce titre :
- elle intervient dans l'analyse et l'évolution de l'aspect technique de tout texte réglementaire relatif à son objet, au regard du développement de la pratique,
- elle vérifie la cohérence des systèmes internationaux par rapport aux brevets ou qualifications délivrés par la FFESSM, notamment en matière d'équivalence de prérogatives, ou en matière de passerelles,
- elle suit l'évolution des techniques et des nouveaux équipements,
- elle organise la formation, l'évaluation et la certification des plus hauts niveaux de cadres de plongée subaquatique. (1 pt)
La CTN est composée d'un président élu ainsi que de son 1er Vice-Président et son 2ème Vice-Président désignés, des délégués officiels des commissions régionales, interrégionales ou de l'activité ou discipline considérée, à savoir leur Président, leur 1er Vice-Président et son 2ème Vice-Président. Il s'y rajoute 5 chargés de missions pour les activités suivantes : plongée jeunes, plongée aux mélanges et recycleurs, Handisub, secourisme et TIV.
Les présidents de commissions régionales ou interrégionales élisent pour 4 ans à l'occasion de l'assemblée générale élective de la fédération le président de la CTN (1 pt)."
Cadre Réglementaire;FFESSM;mai 2019;Niolon;2 points;Donnez au moins 4 des principales missions des comités régionaux ou interrégionaux ?;"- organisation des compétitions régionales pour les disciplines concernées (nage avec palmes, hockey, tir sur cible, pêche sous-marine ...)
- représentation auprès des directions régionales de la Jeunesse et des Sports (DRJS)
- représentation auprès des comités régionaux olympiques et sportifs (CROS)
- représentation auprès des Conseils régionaux
- distribution et facturation des licences auprès des clubs et SCA
- distribution et facturation des fournitures fédérales auprès des clubs, SCA et licenciés
- mutualisation des moyens et mise en place de formations ou de manifestations inter-clubs (formation en biologie, photographie, vidéo, orientation, apnée, pêche sous-marine, entraîneur, arbitre, niveau 4, initiateur, stages TIV, Rifap, stages et examens MF1 etc.)
- relais de la politique fédérale nationale
- relais des demandes et souhaits des comités départementaux, clubs, SCA et, plus généralement, des licenciés
- donner un avis motivé lorsque des clubs demandent des subventions fédérales
- donner parfois (cela varie d'une région à une autre) un avis motivé lorsque des clubs font une demande CNDS (Centre National de Développement du Sport)
(0,5 points / réponse)"
Cadre Réglementaire;FFESSM;sept 2018;Niolon;2 points;Quel est le rôle de la Commission Technique Nationale ? (2pts);"- Organiser une veille technique et réglementaire
- Organiser la formation, l'évaluation et la certification des plus hauts niveaux de cadres de plongée subaquatique.
- Traiter de tout ce qui relève de la pratique, de l'enseignement, des brevets, des qualifications, de la réglementation et du développement de la plongée scaphandre, ainsi que de l'ensemble du matériel mis en oeuvre.
- Etre force de proposition auprès du CDN"
Cadre Réglementaire;FFESSM;juil 2018;Hendaye;3 points;"Notre Fédération est délégataire Définir une fédération délégataire et quelles sont les conditions d'obtention de l'agrément.""";"La délégation est la reconnaissance de l'Etat à une fédération pour des missions particulières :
- organisation des compétitions sportives à l'issue desquelles sont délivrés les titres internationaux, nationaux, régionaux et départementaux et procéder aux sélections correspondantes
- proposer et prendre en charge les sportifs inscrits sur la liste de haut niveau
- proposer un projet de performance fédérale : être le partenaire privilégié de l'Etat pour toute question touchant à la discipline et à l'élaboration des textes.

Conditions d'obtention de cet agrément : (1 pt)
- répondre à un objet d'intérêt général,
- présenter un mode de fonctionnement démocratique
- respecter des règles de nature à garantir la transparence fiscale"
Cadre Réglementaire;FFESSM;juil 2018;Hendaye;2 points;"Notre Fédération dispose de commissions Nationales pour toutes les activités qu'elle propose. La plongée en scaphandre relève de la commission Technique Nationale.

a) Quel le rôle de la CTN ? (2 pts)

b) Quels sont les membres de la CTN ? (1 pt)";"a) Rôle de la CTN
"" Traiter de tout ce qui relève de la pratique, de l'enseignement, des brevets, des qualifications, de la réglementation et du développement de la plongée autonome en scaphandre
"" Elle intervient dans l'analyse et l'évolution de l'aspect technique de tout texte réglementaire relatif à son rôle. (0.5 pt)
"" Elle vérifie la cohérence des systèmes internationaux par rapport aux brevets ou qualifications délivrés par la FFESSM, notamment en matière d'équivalence de prérogatives, ou en matière de passerelles. (0.5pts)
"" Elle suit l'évolution des techniques et des nouveaux équipements. (0.5pts)Elle organise la formation, l'évaluation et la certification des niveaux et titre des cadres de plongée subaquatique (Initiateur, GP, MF1, MF2, IR, IN) (0.5pts)

b) Membres de la CTN
"" Les Présidents de CTR,
"" le président de la CTN, et 2 Vices Président et désignés par le président élu.."
Cadre Réglementaire;FFESSM;mai 2018;Réunion;1 points;Citez les commissions de la FFESSM. (3 pts);"Sportive : Apnée, Hockey subaquatique, Nage avec palme, Nage en eau vive, Orientation subaquatique, Pêche sous-marine, Tir sur cible subaquatique, Plongée sportive en piscine,

Culturelles : Archéologie subaquatique, Environnement et bio subaquatique, Photo vidéo, Plongée Souterraine

Service : Médicale et de prévention, Juridique

1. apnée
2. audiovisuel
3. archéo
4. bio
5. medical
6. juridique
7. Hokey
8. nage avec palmes
9. nage en eaux vives
10. technique
11. orientation
12. PSP
13. Tir sur cible
14. peche sous marine
15. sous terraine"
Cadre Réglementaire;FFESSM;mai 2018;Niolon;1 points;En tant que MF2, sur quel(s) examen(s) de la FFESSM pouvez-vous être le représentant de votre CTR et sous quelles conditions. (2 pts);"Examens N4/GP et Initiateur Club.
Être licencié et nommé par le président de la CTR.
S'engager à respecter la charte et règlements des jurys"
Cadre Réglementaire;FFESSM;oct 2017;Martinique;3 points;"Une commission « plongée sportive en piscine et orientation » a récemment été créée.

a) Quel est le cheminement dans le système fédéral qui permet de créer une commission sportive ? (2 pts)

b) Que faudrait-il pour que l'activité PSP soit reconnue par le Ministère des sports ? (1 pt)";"a) Au préalable, il faut que la discipline rentre dans le champs d'action de la fédération et soit pratiquée par un grand nombre de clubs et de licenciés
Le comité directeur national peut décider de créer une nouvelle commission ou d'apparenter l'activité à une commission existante
La décision est soumise au vote des présidents lors de l'assemblée générale annuelle de la FFESSM

b) Que la discipline soit inscrite dans l'arrêté du ministère qui donne délégation à la FFESSM."
